"Experiment"	"DPI"	"Individual"	"Storage.Box"	"Gene.Control"	"Treatment"	"Concentration.ug.ul"	"Stage.Injected"	"Stage.Scored"	"Gula"	"Eyes"	"Labium"	"Beak"	"Stylets"	"Antenae"	"Scapes"	"Pedicels"	"A1"	"A2"	"A3"	"Collar"	"Pronotum"	"D.T1.Posterior.margin.central"	"D.T1.Posterior.margin.corners"	"Scutellar.lobe"	"Mesonotum"	"Metanotum"	"T1.LL.leg"	"Pl.lobes1"	"Pn.Pl.Junction"	"Pos.Pl1"	"T1.LL.supracoxal.lobes"	"T1.LL.posterior.pleural.margin"	"T1.LL.pronotum.pleural.junction"	"T1.RL.leg"	"T1.RL.supracoxal.lobes"	"T1.RL.posterior.pleural.margin"	"T1.RL.pronotum.pleural.junction"	"T2.LL.leg"	"Pl.lobes2"	"Pos.Pl2"	"T2.LL.supracoxal.lobes"	"T2.LL.posterior.pleural.margin"	"T2.L.wing.base"	"T2.RL.leg"	"T2.RL.supracoxal.lobes"	"T2.RL.posterior.pleural.margin"	"T2.R.wing.base"	"T3.LL.leg"	"Sc.Gland"	"Pos.Pl.3"	"T3.LL.post.pleural.margin"	"T3.LL.scent.gland"	"T3.LL.wing.base"	"T3.RL.leg"	"T3.RL.post.pleural.margin"	"T3.RL.scent.gland"	"T3.RL.wing.base"	"Metasternum"	"V.T1.sternum"	"V.T2.sternum"	"V.T3.sternum"	"Abd.Ventral"	"Notch.F"	"Genitals"	"Sex"	"Abd.Dorsal"	"Anal.tube"	"L.FW.hemelytra"	"L.FW.membranous"	"Wing.hinges"	"Wing.sclerites"	"T2.FW.L.Hinge.Area"	"T2.FW.L.Axillary.sclerites"	"L.HW"	"T3.HW.L.Wing.blade"	"T3.HW.L.Hinge.Area"	"T3.HW.L.Axillary.sclerites"	"R.FW.hemelytra"	"R.FW.membranous"	"T2.FW.R.Hinge.Area"	"T2.FW.R.Axillary.sclerites"	"R.HW"	"T3.HW.R.Wing.blade"	"T3.HW.R.Hinge.Area"	"T3.HW.R.Axillary.sclerites"	"Old.ID"	"Notes"	"Severity"	"Abnormal"	"How.Informative"	"Wing.Phenotypic"	"Wing.Bin"	"Pronotum.Phenotype"	"Pronotum.Bin"	"Pleural.Margins"	"Pleural.Margin.Bin"	"Supracoxal.lobes"	"Supracoxal.lobes.Bin"
"11"	135	"18"	"B"	"JK.B4.D7"	"hth"	"HTH-1"	"1"	"L4/L5"	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"12"	40	"2"	"D"	NA	"iro"	"IRO-1"	"1"	"L4/L5"	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"40.2D"	"failed eclosion"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"13"	53	NA	"A"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.A"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"14"	53	NA	"B"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.B"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"15"	53	NA	"C"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.C"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"16"	53	NA	"D"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.D"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"17"	53	NA	"E"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.E"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"18"	53	NA	"F"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.F"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"19"	53	NA	"G"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.G"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"20"	53	NA	"H"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.H"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"21"	53	NA	"I"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.I"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"22"	53	NA	"J"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.J"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"23"	53	NA	"K"	NA	"iro"	"IRO-1"	NA	NA	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"53.K"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"24"	54	"NS"	"A"	NA	"iro"	"IRO-1"	NA	"L4/L5"	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"54.A"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"25"	54	"NS"	"B"	NA	"iro"	"IRO-1"	NA	"L4/L5"	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"54.B"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"26"	54	"NS"	"D"	NA	"iro"	"IRO-1"	"2"	"L4/L5"	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"54.D"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"27"	54	"NS"	"E"	NA	"iro"	"IRO-1"	"2"	"L4/L5"	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"54.E"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
"28"	54	"NS"	"F"	NA	"iro"	"IRO-1"	"2"	"L4/L5"	"nymph"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	"NS"	"NS"	NA	"NS"	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	NA	"NS"	"NS"	NA	NA	NA	NA	NA	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"NS"	"NS"	NA	NA	"NS"	NA	NA	NA	"54.F"	"Died pre-eclosion, scoring not relevant"	0	0	0	0	0	0	TRUE	0	TRUE	0	TRUE
